name	hash	compiles	blocker_category	blocker	equiv	equiv_detail
Darklang.Cli.Packages.Search.fullPathOf	7d54bf42a9b03f27f2b773b3d9ef6434949f065016f57b75fc01903e135032e8	yes		71232 bytes	ierr	ierr|[]
Darklang.Cli.Run.parseAndExecute	7d59b7bbb99cb6bae00bbf9db7e187aea7045cd3f42d06f437c2bf31982f9f12	no	builtin not routed	unsupported-builtin: cliParseAndExecuteScript_v0		
Darklang.Cli.Workbench.handleKey	7d7136f41db195fe9e9f17e4703d9796d07d91958c3e5507d4094b5f4c02bcf1	no	unsupported-type	unsupported-type: Darklang.LanguageTools.RuntimeTypes.Option: generic type alias		
Darklang.Cli.Packages.Type.execute	7d720e0d3d4eb2954364f0aaac0adb9f1ac151aa149c1a6e9a70dca16e468e9a	no	builtin routed, return type unmarshalable	unsupported-builtin: parserParseToWrittenTypes: T.07382e181d7d13690ef13b4f95f2ba8b07e7140332ce2af981d7a7296ba64e99: T.630e8cc6e7bed1a47eac5add8a5cdc1c2f3e5cf41ed220a258710f29669f4554: T.53a59a7e8a6a4e670834cb26ca70aa8475fc401aa447e2e85f32d434fd98f5f9: T.3cf6af515e205f67127fd5725bca0dd4f0b1e07ce234acd3d490c826d613cf8e: T.72db9e5ad59e416e141cfee8075f6b27cd44a2b11e315a508951411a667339f4: unmarshalable-return: TInt128		
Darklang.Matter.Relay.headHandlerFn	7d8d9c2f827dfa518424e9957443fa2ffa379c6098fb4735e43a1215ed1021ab	no	unsupported-type	unsupported-type: Darklang.SCM.Wire.SyncHead: not in the type closure		
Darklang.SCM.Deps.branchOverlayBindings	7d90ef0d26a05c71dde990b73d11902f5fc0edc350392819e7dc1aa69a641b00	no	builtin not routed	unsupported-builtin: uuidParse_v0		
Darklang.ModelContextProtocol.ServerBuilder.getLogFilePath	7d95443d6c508a7566e734ec2d2d9125d08f3ea425e457cdfc8be4feff447306	yes		1344 bytes	match	match
Darklang.Stdlib.Int.multiply	7daea7dcb43a45cd4e29ace64a168d09de9e5d8ce5ad029875605b66983785b1	yes		39944 bytes	match	match
Darklang.Stdlib.Int128.toFloat	7dccecf5587f8930ffdf345f1c05625578d72b784564769ea7b2b6a57c765d9e	no	builtin not routed	unsupported-builtin: int128ToFloat_v0		
Darklang.WIP.AI.Anthropic.Batch.createBatch	7de1b91c45c5de49315aaae9cd24e2cc576ced42b569c00c69ff2ed9186f41fc	yes		303672 bytes	ierr	ierr|[Function (Package (Hash "7de1b91c45c5de49315aaae9cd24e2cc576ced42b569c00c69ff2ed9186f41fc")); Function (Package (Hash "dd1111780e3679db102c6e0c118804368a19de88fff3990c018070e155cbdd2a")); Function (Package (Hash "dc2c6f30499e790d516015edc4d3664ae806960bae0d11148e3bb2a3bfcd9e60"))]
